,Unnamed: 0,title,author,genre,platform,story,rate,keywords
274,274,검은인간,이저녁,"스토리, 액션",네이버 웹툰,"너의 흉터도, 너의 두 눈도, 그리고... 너의 힘까지! 
지금부터 모든 걸 바꿔줄게.",9.98,"['모든', '지금', '흉터']"
275,275,호러전파상,봄소희 / 김선희,"옴니버스, 판타지",네이버 웹툰,"""명심하세요. 전자기기로 인한 피해는 이 가게에서 책임지지 않습니다.""
정체불명 전파상 주인 '야크'의 미스터리 호러",9.74,"['미스터리', '불명', '야크', '전파', '정체']"
276,276,여고전설,어스문 / 이제스,"스토리, 액션",네이버 웹툰,"약육강식의 여고, 
센 언니들이 몰려온다.",8.72,"['약육강식', '언니', '여고']"
277,277,오라존미,허5파6,"스토리, 드라마",네이버 웹툰,만화를 그리는 작가와 만화를 말하는 작가.,9.98,"['만화', '작가']"
278,278,열정호구,솔뱅이,"에피소드, 드라마",네이버 웹툰,"멀고도 험한 취업 관문을 뚫고 드디어 취업에 성공!?
꽃길만 펼쳐질 줄 알았는데...
어쩐지 열정페이의 함정에 빠진 것만 같다.",9.93,"['어쩐지', '관문', '성공', '열정', '취업']"
279,279,사소한,LICO,"에피소드, 일상",네이버 웹툰,"움직이는 웹툰 숏애니! 
4개월 이후 중성화 수술을 하게 되는 '냐냐'
과연 사.소(사이코패스+소시오패스)한 고양이로 거듭나 땅콩을 사수할 수 있을까?!",9.86,"['사이코', '소시', '개월', '과연', '사수']"
280,280,[드라마원작],김칸비 / 황영찬,"스토리, 스릴러",네이버 웹툰,"절망의 세상을 비관하고 스스로를 고립시킨 한 소년,
하지만 이제 소년은 밖으로 나가고 싶다.",9.97,"['세상', '고립', '비관', '소년', '스스로']"
281,281,오빠야,긴유,"에피소드, 일상",네이버 웹툰,"우리 오빠들은 허락 못한다!
그건 누나들도 마찬가지거든?!",9.62,"['누나', '마찬가지', '오빠', '허락']"
282,282,신의한수,이순기 / 민홍기,"스토리, 드라마",네이버 웹툰,"여기, 배신으로 점철된 삶을 살아온 한 여자가 있다.
그녀는 사람이면 학을 떼는 냉소주의자.
그래서 그녀는 사기꾼이 되었다. 그것도 떼돈을 벌어들이는 쌔끈한 점쟁이 사기꾼!",9.53,"['사기꾼', '냉소', '사람', '이면', '주의자']"
283,283,조선방랑야사,가현,"스토리, 시대극",네이버 웹툰,"한때 조선 한양 책방에서 연애담 소설로 최고 인기를 구가하던 선비 성기임.
수험 압박 탓인지 새로운 신예 ‘방랑 서자’에 밀려, 고전을 면치 못하고 있다.
하루라도 빨리 옛 명성을 되찾겠다는 결심으로 ‘실생활 밀접형’ 소재를 찾기 위해
직접 저잣거리로 나서게 되는데, 과연 성 선비는 목적을 달성할 수 있을까…?",9.89,"['선비', '수험', '고전', '성기', '신예']"
284,284,좀비소녀,DAMA,"스토리, 액션",네이버 웹툰,"어릴 적 화재와 화상 흉터로 한없이 움추러드는 사춘기 소녀 원나.
그런 그녀에게 닥친 생애 최초, 최고의 상황 ㅡ 좀비바이러스.
좀비바이러스에 전염된 마을 어르신들을 지킬 수 있는 건, 오직 원나뿐!
힐링감 넘치는 원나의 웃픈 성장기 &lt;좀비소녀&gt;를 소개합니다!",9.88,"['오직', '마을', '소녀', '전염', '최초']"
285,285,환생소녀,이지훈 / 한아름,"스토리, 판타지",네이버 웹툰,"은진이와 윤재는 어릴 때부터 한동네에서 자란 친구 사이로 매번 티격태격하지만, 어느 순간부터 서로에게 친구 이상의 감정을 느끼게 된다.  친구와 연인사이에서 갈등하다 더 이상 피하지 않고 자신의 마음을 전하기로 마음먹은 그날, 은진이네 가족에게 예상치 못한 사고가 일어나고, 놀랍게도 은진이는 전생의 기억을 고스란히 가지고 박다미라는 새로운 생명으로 탄생한다. 이후 전생의 기억과 인간관계, 현생의 일상과 인간관계 사이에 금이 가지 않도록 그녀만의 비밀스러운 생활이 시작되는데...",9.82,"['은진', '이상', '가지', '기억', '전생']"
286,286,방정사,할리데이 / 도진,"스토리, 액션",네이버 웹툰,"인간의 모습으로 변한 12 지신(방정사)가 신의 저울인 '천평'으로 
피해자의 고통인 '홍고'와 가해자의 고통인 '흑고'의 무게를 측정하여, 
그에 맞는 벌을 내린다.

""저울은 진실해야 하고,  죄와 벌의 무게는 같아야 한다.""

하늘의 명에 따라, 인간의 죄를 벌하는 12 방정사의 
'죄와 벌'에 관한 판타지 휴먼 드라마!",9.91,"['인간', '방정', '모습', '천평', '측정']"
287,287,데이빗,d몬,"스토리, 드라마",네이버 웹툰,"시골 농장 데이빗의 자아를 찾기 위한 여정.
사람은 무엇으로 정의하는가",9.92,"['농장', '데이', '사람', '무엇', '자아']"
288,288,푸른사막,달꽃,"스토리, 판타지",네이버 웹툰,"물의 별 아아루에 걸린 저주를 풀기 위한
두 왕녀의 일대기, 그리고 사랑",9.97,"['아아', '물의', '사랑', '왕녀', '일대기']"
289,289,갓!김치,김민우,"에피소드, 개그",네이버 웹툰,?1000% 신토불이 히어로 등장!,7.39,"['등장', '신토', '어로']"
290,290,좀비딸,이윤창,"스토리, 드라마",네이버 웹툰,"나의 딸은 좀비다.
이 세상 마지막 남은 유일한 좀비...",9.97,"['마지막', '세상', '좀비']"
291,291,203호,샤니,"에피소드, 개그",네이버 웹툰,"어느날 저승사자가 찾아왔다.
그런데 이 저승사자... 제 정신이 아니다.",9.91,"['저승사자', '정신']"
292,292,돼지우리,김칸비 / 천범식,"스토리, 스릴러",네이버 웹툰,"무인도에 표류한 주인공, 그 앞에 정체불명의 가족이 나타난다.",9.88,"['가족', '무인도', '불명', '정체', '주인공']"
293,293,Yes,김밀콩,"에피소드, 드라마",네이버 웹툰,"가뜩이나 생활고에 시달리는데, 하나뿐인 동생이 사고를 쳐서 발등에 불 떨어진 웹툰작가 정아린. 직업상 어시는 많이 필요하지만 이들에게 줄 월급이 고료로는 부족하다. 오랜 세월 꿈꾸던 만화가를 그만둘 수 없어 어쩔 수 없이 취직을 해 낮에는 직장인, 밤에는 만화가인 삶을 살기로 하지만 만화만 그리던 손으로 회사일이 익숙할 리 없을 터. 출근 첫날부터 상사에게 열심히 까이고 작업실로 돌아온 그 때 부족한 손을 채워줄 새로운 파트타임 어시를 보고 눈을 의심하게 되는데...!",9.97,"['어시', '출근', '타임', '회사', '만화']"
294,294,플라워(FLOWAR),홍작가,"에피소드, 드라마",네이버 웹툰,인류가 정착하기 좋은 환경을 갖고 있다고 알려진 행성 ‘프록시마G’.,9.93,"['시마', '인류', '정착', '행성', '환경']"
295,295,한스와,김지효,"에피소드, 드라마",네이버 웹툰,그림을 너무 사랑하는 바른 청년 ‘한스’. 군대 제대 이후 엄마의 시장 일을 돕다가 더 큰 세계에서 미술을 공부하기 위해 샌프란시스코에서의 유학생활을 시작한다. 새 학교에서 처음 사귄 친구 ‘상은’을 위한 선물을 사기 위해 한 작은 수족관에 들어가게 되고 이 곳에서 금붕어의 저주에 걸린 플라워 왕국의 공주 ‘에밀리’를 우연히 사게 되면서 둘의 인연이 시작되는데…,9.92,"['위해', '시작', '청년', '엄마', '이후']"
296,296,태릉좀비촌,하얀독수리,"에피소드, 드라마",네이버 웹툰,대한민국에서 가장 높은 신체능력과 강도 높은 훈련을 이겨낸 엘리트 운동선수들이 모여 있는 '태릉선수촌'에 좀비 바이러스가 퍼졌다. 유도 은메달리스트 락구는 자신의 목숨보다 중요한 양궁선수 승미를 구하기 위해 격리구역이 된 태릉선수촌에 뛰어드는데…….,9.39,"['양궁', '격리', '구역', '리스트', '목숨']"
297,297,토니와,정성완,"에피소드, 드라마",네이버 웹툰,"전염병으로 황폐해지고 있는 세상. 
인생이 원하는 대로 풀리지 않아 부모님 댁으로 도피했던 내가 홀로 살아 남았다. 
막연한 목표로 자취방을 향해 걷던 어느 날, 강아지 토니를 발견하게 되는데... 
그렇게 낯선 존재인 토니와 함께 여정을 떠난다.",9.93,"['강아지', '낯선', '목표', '발견', '연한']"
298,298,영월동,임성훈 / 정보근,"에피소드, 드라마",네이버 웹툰,"?어린 시절 기억을 잃은 채 미국으로 입양된 여리원은 자신에게 화재와 관련된 트라우마가 있다는 것을 알게 되고, 이를 치료할 과거의 사실을 확인하기 위해 한국을 찾는다. 
?그러나 여리원이 기억을 잃은 계기가 된 과거의 화재 사건과 밀접한 관계를 가진 새봄재단이사장 박정덕은, 마침 코앞으로 다가온 국회의원 선거를 앞두고 그녀의 방문을 탐탁치않게 여긴다. 
?과거를 찾아나선 여리원은 자신과 과거와 연관된 여러 사람을 만나가는 과정 속에서 많은 사람들이 화재사건과 자신의 어머니에 대한 것을 숨기려 하고 있음을 눈치 채기 시작한다…!",9.83,"['화재', '과거', '기억', '사건', '자신']"
299,299,고인의,조주희 / 유노,"스토리, 드라마",네이버 웹툰,"이승과 저승, 삶과 죽음을 둘러싼
한국형 미스터리 판타지",9.98,"['미스터리', '이승', '저승', '죽음', '판타지']"
